Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014.1",SSP1-1.9.1,SSP1-2.6.1,SSP2-4.5.1,SSP3-7.0.1,SSP5-8.5.1,Unnamed: 13,SSP1-1.9_HeatIndex,SSP1-2.6_HeatIndex,SSP2-4.5_HeatIndex,SSP3-7.0_HeatIndex,SSP5-8.5_HeatIndex
1990,60.55,,,,,,24.26,,,,,,,,,,,
1991,60.4,,,,,,24.29,,,,,,,,,,,
1992,60.59,,,,,,23.88,,,,,,,,,,,
1993,60.63,,,,,,24.01,,,,,,,,,,,
1994,60.57,,,,,,24.12,,,,,,,,,,,
1995,60.66,,,,,,24.25,,,,,,,,,,,
1996,60.65,,,,,,24.16,,,,,,,,,,,
1997,60.91,,,,,,24.32,,,,,,,,,,,
1998,61.31,,,,,,24.28,,,,,,,,,,,
1999,61.05,,,,,,24.37,,,,,,,,,,,
2000,60.62,,,,,,24.38,,,,,,,,,,,
2001,60.98,,,,,,24.5,,,,,,,,,,,
2002,61.2,,,,,,24.51,,,,,,,,,,,
2003,61.76,,,,,,24.4,,,,,,,,,,,
2004,61.4,,,,,,24.52,,,,,,,,,,,
2005,60.78,,,,,,24.53,,,,,,,,,,,
2006,61.42,,,,,,24.42,,,,,,,,,,,
2007,61.67,,,,,,24.43,,,,,,,,,,,
2008,61.88,,,,,,24.4,,,,,,,,,,,
2009,61.12,,,,,,24.5,,,,,,,,,,,
2010,60.85,,,,,,24.58,,,,,,,,,,,
2011,61.31,,,,,,24.63,,,,,,,,,,,
2012,61.4,,,,,,24.67,,,,,,,,,,,
2013,61.74,,,,,,24.62,,,,,,,,,,,
2040,,62.16,62.05,62.67,62.8,62.15,,77.21600000000001,77.594,77.234,77.342,78.25999999999999,,78.99100145040492,79.3469393105508,79.01360851020635,79.11824465617084,80.0239194805226
2041,,61.93,61.75,62.33,62.65,61.73,,77.252,77.55799999999999,77.486,77.36,78.278,,79.02144031260536,79.30521926050329,79.24877760101842,79.13328171410095,80.02294960910072
2042,,61.75,61.44,61.62,62.39,62.26,,77.396,77.702,77.936,77.864,78.026,,79.15229564704599,79.43509199713986,79.6699020840228,79.62413822815375,79.78490779072628
2043,,61.85,61.75,61.89,62.12,62.54,,77.342,77.792,77.576,77.756,78.278,,79.10365375548814,79.53180302253371,79.3257464792901,79.50749835364365,80.06136942109578
2044,,61.97,62.04,62.35,62.47,62.01,,77.30600000000001,77.63,77.648,77.55799999999999,78.494,,79.07200761217506,79.38162585456669,79.40714121533128,79.32168038526407,80.26625158273553
2045,,62.03,62.09,62.41,62.35,62.46,,77.378,77.702,77.774,77.774,78.602,,79.14032004445039,79.45334939067925,79.53404151298815,79.5322507664239,80.4098708833186
2046,,61.86,61.77,61.95,62.58,62.16,,77.486,77.95400000000001,78.008,77.918,78.72800000000001,,79.23915154649796,79.69334191785455,79.75459311610717,79.68562792030718,80.53139655608655
2047,,61.76,61.8,61.91,62.3,61.85,,77.468,77.864,78.026,78.008,78.69200000000001,,79.2200670474201,79.60455024472719,79.77134716325789,79.76792639770349,80.47219960200908
2048,,61.73,61.75,61.94,62.41,61.62,,77.468,77.702,78.29599999999999,77.95400000000001,78.962,,79.21945601544235,79.44385904438954,80.05184389454298,79.71655724246591,80.75634923906456
2049,,61.88,61.8,62.06,62.56,62.34,,77.54,78.044,78.134,78.224,79.03399999999999,,79.29101260761115,79.7853220087448,79.88826950093798,80.00467860090778,80.89094261969308
2050,,61.7,61.29,62.04,62.57,61.88,,77.54,78.044,78.25999999999999,78.134,79.10600000000001,,79.28693022416397,79.76503737430254,80.01876867458073,79.90984798682487,80.93914094706707
2051,,61.76,61.43,62.12,62.91,61.67,,77.52199999999999,78.134,78.242,78.188,79.05199999999999,,79.27117882112715,79.86137547805745,80.00358114956906,79.98183509975456,80.8615533352167
2052,,61.76,61.95,61.53,62.86,61.81,,77.45,77.756,78.332,78.08,79.304,,79.20310943999311,79.50246605333571,80.0694729383628,79.86480427694202,81.16314684782799
2053,,61.65,61.35,62.22,62.37,61.6,,77.504,77.99000000000001,78.206,78.512,79.358,,79.25172508902847,79.71360437433086,79.97032346095287,80.30570443890751,81.20849239959507
2054,,61.82,61.49,62.35,62.96,61.95,,77.486,78.044,78.386,78.188,79.55600000000001,,79.2383183607624,79.77301572447348,80.16794553635125,79.9840259540039,81.47514234818232
2055,,61.85,61.88,62.2,63.06,61.8,,77.45,77.9,78.458,78.314,79.46600000000001,,79.20488173493563,79.64315857868235,80.23773378639507,80.1251252125757,81.35351412719919
