,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India (primary energy consumption) Exajoules,2.23,2.30,2.37,2.53,2.81,2.75,2.86,3.01,3.07,3.25,3.50,3.67,3.88,4.04,4.26,4.39,4.86,4.81,5.06,5.40,5.70,6.10,6.49,7.06,7.72,8.28,8.74,9.19,9.42,9.93,10.67,11.09,11.71,12.42,12.77,13.41,13.47,13.93,14.43,15.67,16.59,17.48,18.97,20.08,21.57,22.50,23.73,25.02,25.84,27.59,28.55,29.83,30.96,32.72,33.54,31.78,34.51,36.37,39.02,7.3%,4.2%,6.3%
India (Carbon dioxide emissions from energy) Million tonnes of CO2,167.5,170.0,174.5,182.5,197.5,189.9,206.6,218.6,219.0,238.6,253.4,263.8,277.6,276.6,295.9,310.3,339.8,341.8,364.6,386.0,409.0,437.9,474.8,511.8,559.0,602.1,634.9,671.9,694.0,724.8,773.4,812.5,855.0,895.7,914.3,959.5,968.2,1011.7,1052.3,1115.3,1203.2,1255.1,1366.3,1465.6,1591.8,1643.9,1710.2,1829.3,1896.2,2046.5,2114.3,2211.3,2287.9,2385.8,2411.4,2241.6,2469.9,2595.6,2814.3,8.426%,4.0%,8.0%
