Category,Male 2020-2039,Female 2020-2039,Male 2040-2059,Female 2040-2059,Male 2060-2079,Female 2060-2079,Male 2080-2099,Female 2080-2099
0-4,72308190,78421380,79497300,86098760,85478616,92558220,90445900,97940720
5-9,69238190,75307410,76988490,83507170,83267110,90272670,88644030,96112570
10-14,66496320,72378780,75070350,81441400,81717090,88573240,87338300,94679336
15-19,63708280,69387190,72936984,79128240,80071230,86746740,85853460,93016280
20-24,61178756,66625080,70807680,76783170,78250600,84698104,84202040,91136090
25-29,58806470,63956476,68359176,74022010,76232090,82373490,82499784,89139500
30-34,56665300,61373692,65509590,70780610,74187030,79973850,80820150,87104460
35-39,54477164,58618970,62582588,67380460,71892910,77247280,78991320,84836660
40-44,51549716,54961756,59869440,64117384,69554350,74384220,76932630,82216850
45-49,47566024,50113016,57226290,60794880,66789130,70924664,74530500,79067976
50-54,42764132,44285784,54559588,57114570,63352508,66491030,71767000,75228010
55-59,37270516,37706390,51379188,52516740,59334756,61039652,68151430,70022910
60-64,31377446,30691716,46783890,46093700,54739220,54528588,63543576,63234230
65-69,25143826,23492910,40333850,37748784,49119024,46704280,57221000,54390616
70-74,18496422,16230031,32296230,28294404,42119652,37632330,48741420,43681610
75-79,12146496,9895357,23281104,18859326,33408248,27632704,38396130,32024368
80-84,6816057,5133633,14458478,10745107,23133688,17481388,26979624,20702886
85-89,2982997,2103752,7202181,4934195,12957788,8903306,15890301,11147096
90-94,917630,627310,2604598,1670184,5356665,3383093,7202124,4638217
95-99,187323,134040,614948,385394,1460931,879314,2239382,1360057
100,,,,,,,,
