Category,Male 2020-2039,Female 2020-2039,Male 2040-2059,Female 2040-2059,Male 2060-2079,Female 2060-2079,Male 2080-2099,Female 2080-2099
0-4,56823890,61566400,49868636,53939736,41857890,45235596,41857890,45235596
5-9,57626144,62561304,51612650,55866580,43620000,47155496,43620000,47155496
10-14,58526496,63592356,53208920,57609336,45470440,49153332,45470440,49153332
15-19,59001276,64158620,54733948,59275936,47448676,51290784,47448676,51290784
20-24,58974188,64143700,56077796,60729960,49482324,53478556,49482324,53478556
25-29,58310850,63358816,57145190,61827000,51342636,55440996,51342636,55440996
30-34,56943244,61656172,57916884,62577010,52859424,57013136,52859424,57013136
35-39,54716340,58923652,58241304,62807452,54281456,58464520,54281456,58464520
40-44,51781772,55316180,58052050,62404376,55505870,59660148,55505870,59660148
45-49,47806588,50526264,57212116,61171492,56445664,60460664,56445664,60460664
50-54,43040236,44769670,55491496,58667884,56951184,60613324,56951184,60613324
55-59,37614400,38270350,52578020,54513664,56738892,59666388,56738892,59666388
60-64,31822892,31336868,48419404,48629064,55534130,57162060,55534130,57162060
65-69,25698524,24186038,42509172,40756560,52880990,52584756,52880990,52584756
70-74,19122444,16906800,34985284,31513586,48156356,45464316,48156356,45464316
75-79,12765567,10464184,26276448,21903528,40858532,35934452,40858532,35934452
80-84,7325611,5529293,17346140,13204092,31181296,25057524,31181296,25057524
85-89,3299573,2311243,9435767,6513356,20054426,14498168,20054426,14498168
90-94,1048877,700332,3843642,2405081,10016008,6466118,10016008,6466118
95-99,223059,151899,1052037,609312,3489900,2032334,3489900,2032334
100,,,,,,,,
