Category,Male 2020-2039,Female 2020-2039,Male 2040-2059,Female 2040-2059,Male 2060-2079,Female 2060-2079,Male 2080-2099,Female 2080-2099
0-4,43669384,47315170,43669384,47315170,43669384,47315170,20102300,21705848
5-9,46982830,51005344,46982830,51005344,46982830,51005344,22210052,23975678
10-14,50827964,55249776,50827964,55249776,50827964,55249776,24519670,26465718
15-19,53915780,58667628,53915780,58667628,53915780,58667628,27132822,29288192
20-24,56109716,61088710,56109716,61088710,56109716,61088710,30044564,32432656
25-29,57253350,62275876,57253350,62275876,57253350,62275876,33121962,35727150
30-34,56914876,61713440,56914876,61713440,56914876,61713440,36204210,39012816
35-39,54770412,59098804,54770412,59098804,54770412,59098804,39489110,42516340
40-44,51899560,55612260,51899560,55612260,51899560,55612260,42771404,46010144
45-49,47989572,50935416,47989572,50935416,47989572,50935416,46188920,49615390
50-54,43282732,45278910,43282732,45278910,43282732,45278910,49805588,53360084
55-59,37947184,38880508,37947184,38880508,37947184,38880508,52545524,55959904
60-64,32273606,32023140,32273606,32023140,32273606,32023140,54130636,56997620
65-69,26298582,24973352,26298582,24973352,26298582,24973352,54273132,56028136
70-74,19835110,17715868,19835110,17715868,19835110,17715868,52064284,51994084
75-79,13506568,11179108,13506568,11179108,13506568,11179108,46753212,44392670
80-84,7973356,6052622,7973356,6052622,7973356,6052622,38868252,34331670
85-89,3730943,2603447,3730943,2603447,3730943,2603447,28431382,22879776
90-94,1241387,810015,1241387,810015,1241387,810015,17077442,12297568
95-99,279046,180528,279046,180528,279046,180528,7655331,4896604
100,,,,,,,,
