code,name,2020_2039_avg,2040_2059_avg,2060_2079_avg,2080_2099_avg,2020_2039_anomaly,2040_2059_anomaly,2060_2079_anomaly,2080_2099_anomaly
IND,india,74.9496790279757,75.80434816890455,76.08616421976178,75.77983030742227,0.0,0.0,0.0,0.0
IND.1151,andaman and nicobar islands,77.92374684973275,78.32496478289094,78.50122294544371,78.45177837931202,2.974067821757046,2.520616613986391,2.4150587256819307,2.6719480718897444
IND.11510,delhi,76.25220212505543,77.01845243099484,77.16466242410148,77.17278876445836,1.3025230970797281,1.214104262090288,1.0784982043396951,1.3929584570360873
IND.11511,goa,77.22805809419587,77.60594265645263,77.720619123287,77.7852198083583,2.278379066220168,1.8015944875480727,1.63445490352521,2.005389500936033
IND.11512,gujarat,78.55287406311476,79.1275191023803,79.30104975967721,79.32835131063142,3.603195035139052,3.323170933475751,3.2148855399154286,3.548521003209146
IND.11513,haryana,76.17528097950145,76.7870673488181,77.08940964602795,77.1170520412344,1.2256019515257464,0.9827191799135448,1.0032454262661616,1.3372217338121288
IND.11514,himachal pradesh,32.589957342820846,33.83758216901604,34.254148764274284,34.29925543418549,-42.35972168515486,-41.966765999888516,-41.8320154554875,-41.48057487323678
IND.11515,jammu and kashmir,14.15406863080688,15.522969593508632,15.977118875142818,16.023256103784274,-60.79561039716883,-60.28137857539592,-60.10904534461896,-59.756574203637996
IND.11516,jharkhand,75.73612308814106,76.33470642705389,76.67016753185064,76.67135720199545,0.7864440601653513,0.5303582581493345,0.5840033120888535,0.8915268945731754
IND.11517,karnataka,76.75068457246861,77.23363044149295,77.17208118750064,77.24077049384691,1.8010055444929094,1.4292822725883951,1.0859169677388536,1.4609401864246365
IND.11518,kerala,77.02483116131945,77.20063387542326,77.27816911644047,77.24163129299262,2.0751521333437495,1.3962857065187109,1.1920048966786823,1.461800985570349
IND.11519,lakshadweep,78.28255947093649,78.71026828223295,78.8724188778572,78.850638388046,3.3328804429607857,2.905920113328392,2.786254658095416,3.0708080806237206
IND.1152,andhra pradesh,78.59812289755074,79.15269734742533,79.40948054644075,79.35054813639618,3.6484438695750327,3.3483491785207775,3.323316326678963,3.570717828973912
IND.11520,madhya pradesh,76.62800801523692,77.14351585782912,77.31033570188065,77.34690846702975,1.6783289872612102,1.3391676889245616,1.2241714821188623,1.567078159607476
IND.11521,maharashtra,77.5831089631612,77.94473347317037,78.13070546456613,78.1335074702127,2.6334299351854895,2.14038530426582,2.04454124480435,2.353677162790433
IND.11522,manipur,67.4140890719196,68.28779689874631,68.61278741885535,68.57314639553535,-7.5355899560561,-7.516551270158246,-7.473376800906436,-7.206683911886927
IND.11523,meghalaya,70.26555062519445,71.17947915876275,71.5185291939582,71.47390558926035,-4.684128402781255,-4.624869010141808,-4.5676350258035825,-4.3059247181619185
IND.11524,mizoram,70.93307993937646,71.7510678290171,72.07850599236188,72.06404562304581,-4.01659908859925,-4.053280339887451,-4.007658227399901,-3.715784684376459
IND.11525,nagaland,66.51137893536048,67.42020678866497,67.7201156092624,67.66283706016057,-8.438300092615222,-8.384141380239583,-8.36604861049939,-8.116993247261703
IND.11526,odisha,77.2007206071489,77.7888966514431,77.93081922260266,77.92257981568473,2.25104157917319,1.9845484825385427,1.8446550028408808,2.1427495082624546
IND.11527,puducherry,79.28782214488874,79.74741217396485,79.96185728895131,79.92118704611502,4.338143116913031,3.943064005060293,3.8756930691895235,4.14135673869275
IND.11528,punjab,75.03571106262588,75.8716870771262,75.94826264002522,75.967754030764,0.08603203465017373,0.06733890822164312,-0.13790157973656392,0.1879237233417257
IND.11529,rajasthan,77.65306033376513,78.0721590869259,78.22159285411126,78.23103636863712,2.7033813057894207,2.2678109180213397,2.1354286343494806,2.4512060612148474
IND.1153,arunachal pradesh,64.54480976347358,65.42487739886558,65.72931292325642,65.65338013413397,-10.404869264502125,-10.379470770038978,-10.356851296505369,-10.126450173288305
IND.11530,sikkim,35.70503017183411,36.77613602686271,37.23093968654536,37.14800143143604,-39.244648856141595,-39.028212142041845,-38.85522453321642,-38.63182887598623
IND.11531,tamil nadu,78.8111253643456,79.26968909983536,79.4835503336945,79.43187526114143,3.8614463363698945,3.4653409309308074,3.3973861139327113,3.6520449537191553
IND.11532,telangana,78.48860986832327,79.11576884273707,79.41253677831843,79.36960914655707,3.538930840347561,3.311420673832515,3.326372558556642,3.5897788391347945
IND.11533,tripura,76.03252066005777,76.63780597062032,76.764277542484,76.75684084393232,1.082841632082065,0.8334578017157668,0.6781133227222114,0.9770105365100505
IND.11534,uttar pradesh,76.49231974726078,77.08954368529348,77.24781221790097,77.32776129442065,1.5426407192850746,1.2851955163889244,1.1616479981391876,1.5479309869983808
IND.11535,uttarakhand,50.97029438401693,52.04083351038186,52.40246698419963,52.48747950876334,-23.979384643958774,-23.763514658522695,-23.683697235562157,-23.29235079865893
IND.11536,west bengal,76.85520452618532,77.25775527463493,77.5686444393129,77.52611861469434,1.905525498209613,1.4534071057303777,1.482480219551121,1.7462883072720672
IND.1154,assam,73.96440176660113,74.7883574925799,75.07076476952078,75.02264876866653,-0.985277261374577,-1.0159906763246482,-1.0153994502410058,-0.757181538755745
IND.1155,bihar,76.89330405000648,77.44241705740318,77.7537888578296,77.74335474748978,1.9436250220307727,1.6380688884986228,1.6676246380678208,1.963524440067502
IND.1156,chandigarh,73.78685388094148,74.71373743901988,75.0666247632703,75.12131131242218,-1.1628251470342263,-1.0906107298846734,-1.0195394564914864,-0.6585189950000938
IND.1157,chhattisgarh,76.89443597409493,77.3595676204084,77.601540958959,77.63304259879115,1.9447569461192273,1.555219451503845,1.5153767391972224,1.8532122913688767
IND.1158,dadra and nagar haveli,77.63683388273442,77.98750898387259,78.15868861160321,78.18541259176025,2.6871548547587167,2.1831608149680335,2.0725243918414264,2.4055822843379815
IND.1159,daman and diu,77.59825181399023,78.0348437950499,78.20362499720355,78.23396034368042,2.648572786014526,2.2304956261453412,2.1174607774417638,2.4541300362581495
