code,name,2020_2039_avg,2040_2059_avg,2060_2079_avg,2080_2099_avg
IND,India,74.9496790279757,75.80434816890455,76.08616421976178,75.77983030742227
IND.1151,Andaman and Nicobar Islands,77.92374684973275,78.32496478289094,78.50122294544371,78.45177837931202
IND.11510,Delhi,76.25220212505543,77.01845243099484,77.16466242410148,77.17278876445836
IND.11511,Goa,77.22805809419587,77.60594265645263,77.720619123287,77.7852198083583
IND.11512,Gujarat,78.55287406311476,79.1275191023803,79.30104975967721,79.32835131063142
IND.11513,Haryana,76.17528097950145,76.7870673488181,77.08940964602795,77.1170520412344
IND.11514,Himachal Pradesh,32.589957342820846,33.83758216901604,34.254148764274284,34.29925543418549
IND.11515,Jammu and Kashmir,14.15406863080688,15.522969593508632,15.977118875142818,16.023256103784274
IND.11516,Jharkhand,75.73612308814106,76.33470642705389,76.67016753185064,76.67135720199545
IND.11517,Karnataka,76.75068457246861,77.23363044149295,77.17208118750064,77.24077049384691
IND.11518,Kerala,77.02483116131945,77.20063387542326,77.27816911644047,77.24163129299262
IND.11519,Lakshadweep,78.28255947093649,78.71026828223295,78.8724188778572,78.850638388046
IND.1152,Andhra Pradesh,78.59812289755074,79.15269734742533,79.40948054644075,79.35054813639618
IND.11520,Madhya Pradesh,76.62800801523692,77.14351585782912,77.31033570188065,77.34690846702975
IND.11521,Maharashtra,77.5831089631612,77.94473347317037,78.13070546456613,78.1335074702127
IND.11522,Manipur,67.4140890719196,68.28779689874631,68.61278741885535,68.57314639553535
IND.11523,Meghalaya,70.26555062519445,71.17947915876275,71.5185291939582,71.47390558926035
IND.11524,Mizoram,70.93307993937646,71.7510678290171,72.07850599236188,72.06404562304581
IND.11525,Nagaland,66.51137893536048,67.42020678866497,67.7201156092624,67.66283706016057
IND.11526,Odisha,77.2007206071489,77.7888966514431,77.93081922260266,77.92257981568473
IND.11527,Puducherry,79.28782214488874,79.74741217396485,79.96185728895131,79.92118704611502
IND.11528,Punjab,75.03571106262588,75.8716870771262,75.94826264002522,75.967754030764
IND.11529,Rajasthan,77.65306033376513,78.0721590869259,78.22159285411126,78.23103636863712
IND.1153,Arunachal Pradesh,64.54480976347358,65.42487739886558,65.72931292325642,65.65338013413397
IND.11530,Sikkim,35.70503017183411,36.77613602686271,37.23093968654536,37.14800143143604
IND.11531,Tamil Nadu,78.8111253643456,79.26968909983536,79.4835503336945,79.43187526114143
IND.11532,Telangana,78.48860986832327,79.11576884273707,79.41253677831843,79.36960914655707
IND.11533,Tripura,76.03252066005777,76.63780597062032,76.764277542484,76.75684084393232
IND.11534,Uttar Pradesh,76.49231974726078,77.08954368529348,77.24781221790097,77.32776129442065
IND.11535,Uttarakhand,50.970294384016924,52.04083351038186,52.40246698419963,52.48747950876334
IND.11536,West Bengal,76.85520452618532,77.25775527463493,77.5686444393129,77.52611861469434
IND.1154,Assam,73.96440176660113,74.7883574925799,75.07076476952078,75.02264876866653
IND.1155,Bihar,76.89330405000648,77.44241705740318,77.7537888578296,77.74335474748978
IND.1156,Chandigarh,73.78685388094148,74.71373743901988,75.0666247632703,75.12131131242218
IND.1157,Chhattisgarh,76.89443597409493,77.3595676204084,77.601540958959,77.63304259879115
IND.1158,Dadra and Nagar Haveli,77.63683388273442,77.98750898387259,78.15868861160321,78.18541259176025
IND.1159,Daman and Diu,77.59825181399023,78.0348437950499,78.20362499720355,78.23396034368042
